Date,Open,High,Low,Close,Volume
2007-09-13,0.76,0.77,0.76,0.77,6400.0
2007-09-14,0.77,0.79,0.77,0.79,6900.0
2007-09-17,0.77,0.81,0.75,0.75,39850.0
2007-09-18,0.8,0.8,0.7501,0.77,32220.0
2007-09-19,0.82,0.82,0.75,0.78,23685.0
2007-09-20,0.77,0.77,0.77,0.77,5831.0
2007-09-21,0.77,0.8,0.77,0.8,18120.0
2007-09-24,0.78,0.81,0.78,0.81,51100.0
2007-09-25,0.75,0.76,0.7,0.74,24181.0
2007-09-26,0.75,0.8,0.75,0.78,30270.0
2007-09-27,0.81,0.81,0.76,0.76,61800.0
2007-09-28,0.76,0.809,0.76,0.79,5173.0
2007-10-01,0.76,0.81,0.76,0.81,14740.0
2007-10-02,0.79,0.795,0.78,0.795,1475.0
2007-10-03,0.79,0.82,0.79,0.82,13047.0
2007-10-04,0.8,0.83,0.8,0.8,11275.0
2007-10-05,0.8,0.8,0.769,0.79,16950.0
2007-10-08,0.79,0.79,0.77,0.77,18050.0
2007-10-09,0.77,0.79,0.75,0.79,48769.0
2007-10-10,0.75,0.77,0.75,0.77,11144.0
2007-10-11,0.75,0.78,0.75,0.77,24985.0
2007-10-12,0.75,0.75,0.73,0.74,38530.0
2007-10-15,0.72,0.77,0.72,0.77,37675.0
2007-10-16,0.73,0.8,0.72,0.77,81161.0
2007-10-17,0.78,0.7999,0.76,0.77,45734.0
2007-10-18,0.76,0.78,0.75,0.78,24390.0
2007-10-19,0.75,0.78,0.75,0.75,5500.0
2007-10-22,0.75,0.77,0.75,0.77,10723.0
2007-10-23,0.77,0.78,0.77,0.78,20453.0
2007-10-24,0.78,0.78,0.75,0.75,20778.0
2007-10-25,0.75,0.75,0.75,0.75,7499.0
2007-10-26,0.75,0.78,0.71,0.71,59917.0
2007-10-29,0.72,0.75,0.72,0.75,20520.0
2007-10-30,0.74,0.75,0.73,0.75,6241.0
2007-10-31,0.77,0.78,0.75,0.78,16800.0
2007-11-01,0.74,0.74,0.73,0.74,6800.0
2007-11-02,0.73,0.74,0.72,0.73,23200.0
2007-11-05,0.73,0.73,0.71,0.73,56600.0
2007-11-06,0.73,0.8,0.73,0.78,72144.0
2007-11-07,0.8,0.82,0.8,0.8,74408.0
2007-11-08,0.8,0.83,0.8,0.8,23925.0
2007-11-09,0.8,0.81,0.8,0.8,14935.0
2007-11-12,0.8,0.96,0.8,0.88,145038.0
2007-11-13,0.91,0.94,0.91,0.91,20800.0
2007-11-14,0.96,0.96,0.88,0.95,69203.0
2007-11-15,0.95,1.0,0.94,1.0,244943.0
2007-11-16,1.0,1.0,0.98,0.99,27100.0
2007-11-19,0.96,0.98,0.9,0.9,16405.0
2007-11-20,0.87,0.9,0.79,0.8,38480.0
2007-11-21,0.8,0.8,0.74,0.74,20363.0
2007-11-22,0.8,0.8,0.74,0.74,0.0
2007-11-23,0.74,0.74,0.74,0.74,900.0
2007-11-26,0.755,0.8,0.75,0.75,21600.0
2007-11-27,0.76,0.78,0.76,0.78,8630.0
2007-11-28,0.78,0.78,0.77,0.77,17200.0
2007-11-29,0.85,0.85,0.73,0.7302,492306.0
2007-11-30,0.76,0.76,0.7,0.75,71402.0
2007-12-03,0.73,0.76,0.73,0.73,3950.0
2007-12-04,0.73,0.73,0.71,0.725,36093.0
2007-12-05,0.71,0.76,0.71,0.72,42880.0
2007-12-06,0.72,0.73,0.72,0.73,5400.0
2007-12-07,0.73,0.76,0.73,0.74,25270.0
2007-12-10,0.74,0.77,0.71,0.71,14922.0
2007-12-11,0.71,0.75,0.71,0.72,20995.0
2007-12-12,0.75,0.75,0.7,0.71,64225.0
2007-12-13,0.71,0.75,0.69,0.7,18320.0
2007-12-14,0.69,0.76,0.69,0.75,87150.0
2007-12-17,0.72,0.75,0.72,0.75,40051.0
2007-12-18,0.74,0.76,0.73,0.75,17645.0
2007-12-19,0.75,0.76,0.75,0.76,26585.0
2007-12-20,0.75,0.75,0.75,0.75,27445.0
2007-12-21,0.75,0.76,0.71,0.73,97432.0
2007-12-24,0.73,0.74,0.72,0.74,10350.0
2007-12-25,0.73,0.74,0.72,0.74,0.0
2007-12-26,0.72,0.74,0.7,0.71,48230.0
2007-12-27,0.67,0.71,0.665,0.7,139205.0
2007-12-28,0.7,0.71,0.68,0.68,37080.0
2007-12-31,0.68,0.72,0.68,0.7,50061.0
2008-01-01,0.68,0.72,0.68,0.7,0.0
2008-01-02,0.7,0.72,0.65,0.7,77025.0
2008-01-03,0.7,0.7,0.7,0.7,32150.0
2008-01-04,0.7,0.7,0.64,0.64,65197.0
2008-01-07,0.65,0.69,0.65,0.65,19250.0
2008-01-08,0.71,0.71,0.63,0.63,307.0
2008-01-09,0.7,0.7,0.63,0.67,23750.0
2008-01-10,0.635,0.7,0.63,0.63,3048.0
2008-01-11,0.63,0.68,0.63,0.64,7450.0
2008-01-14,0.675,0.75,0.675,0.71,30730.0
2008-01-15,0.7,0.7,0.65,0.7,22390.0
2008-01-16,0.65,0.68,0.6,0.65,36825.0
2008-01-17,0.61,0.65,0.61,0.65,7700.0
2008-01-18,0.65,0.66,0.65,0.65,12200.0
2008-01-21,0.65,0.66,0.65,0.65,0.0
2008-01-22,0.57,0.63,0.55,0.58,75148.0
2008-01-23,0.63,0.65,0.6,0.64,28735.0
2008-01-24,0.68,0.68,0.61,0.61,7157.0
2008-01-25,0.64,0.64,0.61,0.62,19135.0
2008-01-28,0.63,0.63,0.56,0.56,48868.0
2008-01-29,0.58,0.65,0.58,0.65,6935.0
2008-01-30,0.65,0.65,0.6,0.6,2333.0
2008-01-31,0.65,0.65,0.65,0.65,1400.0
2008-02-01,0.65,0.65,0.62,0.64,15603.0
2008-02-04,0.64,0.64,0.64,0.64,6000.0
2008-02-05,0.62,0.64,0.62,0.62,25725.0
2008-02-06,0.61,0.64,0.61,0.64,1340.0
2008-02-07,0.639,0.64,0.61,0.61,22550.0
2008-02-08,0.61,0.61,0.61,0.61,1500.0
2008-02-11,0.61,0.61,0.53,0.53,140561.0
2008-02-12,0.6,0.64,0.55,0.6,44778.0
2008-02-13,0.65,0.65,0.6,0.6,63150.0
2008-02-14,0.59,0.6,0.59,0.6,747.0
2008-02-15,0.65,0.65,0.59,0.59,10843.0
2008-02-18,0.65,0.65,0.59,0.59,0.0
2008-02-19,0.59,0.63,0.59,0.59,1347.0
2008-02-20,0.61,0.61,0.6,0.6,10370.0
2008-02-21,0.59,0.6,0.59,0.6,21225.0
2008-02-22,0.62,0.64,0.6,0.6,24600.0
2008-02-25,0.57,0.64,0.57,0.62,9920.0
2008-02-26,0.64,0.64,0.62,0.62,8603.0
2008-02-27,0.62,0.64,0.62,0.64,9650.0
2008-02-28,0.65,0.65,0.64,0.65,5457.0
2008-02-29,0.65,0.65,0.64,0.65,10548.0
2008-03-03,0.65,0.68,0.65,0.66,89727.0
2008-03-04,0.68,0.68,0.64,0.64,538.0
2008-03-05,0.7,0.75,0.64,0.7,97244.0
2008-03-06,0.71,0.75,0.68,0.75,17500.0
2008-03-07,0.75,0.75,0.69,0.75,4850.0
2008-03-10,0.74,0.74,0.69,0.74,4925.0
2008-03-11,0.69,0.75,0.65,0.7,5927.0
2008-03-12,0.74,0.74,0.69,0.69,16231.0
2008-03-13,0.65,0.69,0.6,0.69,12260.0
2008-03-14,0.7,0.7,0.65,0.7,10132.0
2008-03-17,0.7,0.7,0.7,0.7,400.0
2008-03-18,0.65,0.65,0.6,0.6,16001.0
2008-03-19,0.61,0.61,0.61,0.61,5183.0
2008-03-20,0.61,0.67,0.61,0.67,7800.0
2008-03-21,0.61,0.67,0.61,0.67,0.0
2008-03-24,0.7,0.7,0.7,0.7,2600.0
2008-03-25,0.7,0.71,0.68,0.7,27811.0
2008-03-26,0.7,0.7,0.7,0.7,5500.0
2008-03-27,0.7,0.7,0.7,0.7,16285.0
2008-03-28,0.7,0.7,0.7,0.7,17000.0
2008-03-31,0.7,0.71,0.7,0.7,16000.0
2008-04-01,0.71,0.73,0.7,0.71,12655.0
2008-04-02,0.73,0.73,0.73,0.73,19320.0
2008-04-03,0.74,0.74,0.74,0.74,17500.0
2008-04-04,0.75,0.75,0.7,0.7,40358.0
2008-04-07,0.7,0.71,0.66,0.66,131588.0
2008-04-08,0.65,0.74,0.6,0.6,67119.0
2008-04-09,0.6,0.7,0.6,0.6,2100.0
2008-04-10,0.61,0.61,0.61,0.61,1500.0
2008-04-11,0.61,0.65,0.61,0.62,5575.0
2008-04-14,0.62,0.65,0.62,0.65,4770.0
2008-04-15,0.65,0.65,0.62,0.65,9417.0
2008-04-16,0.61,0.65,0.61,0.61,6295.0
2008-04-17,0.65,0.65,0.62,0.62,8100.0
2008-04-18,0.6,0.62,0.6,0.61,10812.0
2008-04-21,0.6,0.62,0.59,0.59,50888.0
2008-04-22,0.62,0.62,0.59,0.6,18149.0
2008-04-23,0.57,0.59,0.565,0.58,43990.0
2008-04-24,0.59,0.59,0.54,0.59,74065.0
2008-04-25,0.59,0.59,0.544,0.55,27210.0
2008-04-28,0.54,0.61,0.54,0.61,18850.0
2008-04-29,0.56,0.56,0.56,0.56,2400.0
2008-04-30,0.55,0.56,0.54,0.54,17500.0
2008-05-01,0.57,0.57,0.55,0.55,4087.0
2008-05-02,0.55,0.6,0.55,0.6,8864.0
2008-05-05,0.61,0.61,0.55,0.6,11149.0
2008-05-06,0.61,0.61,0.53,0.56,45425.0
2008-05-07,0.55,0.55,0.55,0.55,3000.0
2008-05-08,0.6,0.6,0.53,0.6,28638.0
2008-05-09,0.55,0.61,0.55,0.61,10500.0
2008-05-12,0.55,0.61,0.55,0.61,5570.0
2008-05-13,0.55,0.61,0.55,0.55,14341.0
