Date,Open,High,Low,Close,Volume
2010-03-03,2124.9008,2132.4005,2124.9008,2132.4005,4.0
2010-03-04,2124.9008,2132.4005,2124.9008,2132.4005,0.0
2010-03-05,2124.9008,2132.4005,2124.9008,2132.4005,0.0
2010-03-08,2124.9008,2132.4005,2124.9008,2132.4005,0.0
2010-03-09,2124.9008,2132.4005,2124.9008,2132.4005,0.0
2010-03-10,2124.9008,2132.4005,2124.9008,2132.4005,0.0
2010-03-11,2124.9008,2132.4005,2124.9008,2132.4005,0.0
2010-03-12,1874.9125,1874.9125,1874.9125,1874.9125,2.0
2010-03-15,1874.9125,1874.9125,1874.9125,1874.9125,0.0
2010-03-16,1874.9125,1874.9125,1874.9125,1874.9125,0.0
2010-03-17,1499.93,1499.93,1488.6805,1488.6805,8.0
2010-03-18,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-03-19,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-03-22,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-03-23,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-03-24,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-03-25,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-03-26,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-03-29,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-03-30,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-03-31,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-01,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-02,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-05,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-06,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-07,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-08,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-09,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-12,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-13,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-14,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-15,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-16,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-19,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-20,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-21,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-22,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-23,1499.93,1499.93,1488.6805,1488.6805,0.0
2010-04-26,1499.93,2249.895,1499.93,2199.8973,731.0
2010-04-27,1499.93,2249.895,1499.93,2199.8973,0.0
2010-04-28,1499.93,2249.895,1499.93,2199.8973,0.0
2010-04-29,1499.93,2249.895,1499.93,2199.8973,0.0
2010-04-30,1499.93,2249.895,1499.93,2199.8973,0.0
2010-05-03,1499.93,2249.895,1499.93,2199.8973,0.0
2010-05-04,1499.93,2249.895,1499.93,2199.8973,0.0
2010-05-05,1499.93,2249.895,1499.93,2199.8973,0.0
2010-05-06,1499.93,2249.895,1499.93,2199.8973,0.0
2010-05-07,1499.93,2249.895,1499.93,2199.8973,0.0
2010-05-10,1499.93,2249.895,1499.93,2199.8973,0.0
2010-05-11,1499.93,2249.895,1499.93,2199.8973,0.0
2010-05-12,1499.93,2249.895,1499.93,2199.8973,0.0
2010-05-13,1499.93,2249.895,1499.93,2199.8973,0.0
2010-05-14,1499.93,2249.895,1499.93,2199.8973,0.0
2010-05-17,1499.93,2249.895,1499.93,2199.8973,0.0
2010-05-18,1499.93,2249.895,1499.93,2199.8973,0.0
2010-05-19,1499.93,2249.895,1499.93,2199.8973,0.0
2010-05-20,2199.8973,2249.895,1874.9125,2249.895,8.0
2010-05-21,1799.88,1949.87,824.945,824.945,8.0
2010-05-24,1049.93,1499.9,1049.93,1124.925,11.0
2010-05-25,1199.92,1199.92,599.96,599.96,248.0
2010-05-26,1132.4245,1619.892,1124.925,1567.3955,4371.0
2010-05-27,1574.895,1574.895,142.4905,1439.904,1577.0
2010-05-28,1514.899,1574.895,1402.4065,1499.9,1204.0
2010-05-31,1514.899,1574.895,1402.4065,1499.9,0.0
2010-06-01,1514.899,1514.899,1019.932,1049.93,1552.0
2010-06-02,1199.92,1214.9189999999999,974.935,1004.933,1341.0
2010-06-03,1048.4301,1049.93,914.939,959.936,463.0
2010-06-04,959.936,974.935,614.9590000000001,794.947,1409.0
2010-06-07,824.945,824.945,542.9638,599.96,337.0
2010-06-08,644.957,674.955,542.9638,584.961,152.0
2010-06-09,598.4601,598.4601,419.972,451.4699,366.0
2010-06-10,449.97,652.4565,374.975,629.9580000000001,176.0
2010-06-11,734.951,734.951,479.968,674.955,173.0
2010-06-14,674.955,674.955,584.961,599.96,36.0
2010-06-15,629.9580000000001,644.957,599.96,599.96,37.0
2010-06-16,599.96,614.9590000000001,509.966,584.961,61.0
2010-06-17,554.9630000000001,584.961,524.965,539.964,32.0
2010-06-18,554.9630000000001,599.96,524.965,599.96,13.0
2010-06-21,584.961,584.961,449.97,524.965,72.0
2010-06-22,517.4655,524.965,509.966,523.4651,60.0
2010-06-23,523.4651,539.964,404.973,412.4725,35.0
2010-06-24,436.4709,577.4615,404.973,412.4725,480.0
2010-06-25,449.97,449.97,389.974,412.4725,1694.0
2010-06-28,547.4635,718.4521,524.965,604.4597,9314.0
2010-06-29,659.956,659.956,412.4725,458.9694,3791.0
2010-06-30,451.4699,463.4691,329.978,352.4765,1248.0
2010-07-01,344.977,386.9742,334.4777,367.4755,510.0
2010-07-02,388.4741,394.4737,352.4765,359.976,204.0
2010-07-05,388.4741,394.4737,352.4765,359.976,0.0
2010-07-06,394.4737,394.4737,319.4787,359.976,131.0
2010-07-07,329.978,329.978,299.98,314.97900000000004,261.0
2010-07-08,329.978,329.978,224.985,299.98,285.0
2010-07-09,307.4795,329.978,299.98,301.4799,68.0
2010-07-12,301.4799,329.978,284.981,299.98,109.0
2010-07-13,289.4807,329.978,269.982,277.4815,70.0
2010-07-14,260.9826,277.4815,242.9838,242.9838,117.0
2010-07-15,239.984,253.4831,224.985,224.985,90.0
2010-07-16,224.985,299.98,224.985,299.98,98.0
2010-07-19,298.4801,299.98,239.984,242.9838,48.0
2010-07-20,269.982,269.982,224.985,227.9848,87.0
2010-07-21,233.9844,269.982,232.4845,235.4843,61.0
2010-07-22,254.983,254.983,226.4849,229.4847,59.0
2010-07-23,217.4855,247.4835,212.9858,224.985,72.0
2010-07-26,224.985,235.4843,197.9868,208.4861,78.0
2010-07-27,202.4865,224.985,197.9868,199.4867,48.0
2010-07-28,224.985,224.985,172.4885,179.988,152.0
2010-07-29,169.4887,193.4871,169.4887,193.4871,102.0
2010-07-30,194.987,194.987,173.9884,185.9876,15.0
2010-08-02,173.9884,191.9872,172.4885,172.4885,78.0
2010-08-03,172.4885,191.9872,170.9886,173.9884,42.0
2010-08-04,173.9884,179.988,170.9886,179.988,53.0
2010-08-05,187.4875,187.4875,149.99,149.99,238.0
2010-08-06,163.4891,187.4875,142.4905,172.4885,474.0
2010-08-09,122.9918,149.99,77.9948,134.991,266.0
2010-08-10,134.991,149.99,104.993,133.4911,132.0
2010-08-11,119.992,134.991,109.4927,121.4919,46.0
2010-08-12,113.9924,134.991,112.4925,124.4917,47.0
2010-08-13,134.991,134.991,124.4917,134.991,42.0
2010-08-16,134.991,142.4905,134.991,134.991,21.0
2010-08-17,134.991,149.99,134.991,149.99,43.0
2010-08-18,164.989,179.988,149.99,179.988,37.0
2010-08-19,179.988,187.4875,149.99,187.4875,22.0
2010-08-20,187.4875,187.4875,157.4895,157.4895,11.0
2010-08-23,160.4893,164.989,149.99,149.99,20.0
2010-08-24,157.4895,157.4895,149.99,157.4895,39.0
2010-08-25,157.4895,179.988,149.99,179.988,10.0
2010-08-26,179.988,179.988,151.4899,164.989,18.0
2010-08-27,176.9882,176.9882,164.989,176.9882,17.0
2010-08-30,176.9882,176.9882,113.9924,164.989,69.0
2010-08-31,175.4883,175.4883,143.9904,164.989,10.0
2010-09-01,164.989,167.9888,151.4899,157.4895,18.0
2010-09-02,151.4899,167.9888,149.99,164.989,32.0
2010-09-03,151.4899,164.989,119.992,163.4891,54.0
2010-09-06,151.4899,164.989,119.992,163.4891,0.0
2010-09-07,146.9902,164.989,130.4913,134.991,33.0
2010-09-08,131.9912,134.991,131.9912,133.4911,8.0
2010-09-09,133.4911,142.4905,119.992,127.4915,24.0
2010-09-10,124.4917,157.4895,124.4917,137.9908,22.0
2010-09-13,136.4909,149.99,83.9944,127.4915,97.0
2010-09-14,124.4917,124.4917,112.4925,119.992,51.0
2010-09-15,113.9924,149.99,113.9924,115.4923,13.0
2010-09-16,164.989,269.982,149.99,172.4885,2525.0
2010-09-17,179.988,179.988,127.4915,134.991,355.0
2010-09-20,134.991,149.99,121.4919,134.991,187.0
2010-09-21,119.992,131.9912,119.992,130.4913,63.0
2010-09-22,119.992,119.992,113.9924,118.4921,68.0
2010-09-23,118.4921,130.4913,115.4923,115.4923,103.0
2010-09-24,113.9924,127.4915,113.9924,127.4915,27.0
2010-09-27,127.4915,134.991,110.9926,133.4911,76.0
2010-09-28,113.9924,127.4915,113.9924,113.9924,14.0
2010-09-29,113.9924,125.9916,113.9924,119.992,87.0
2010-09-30,115.4923,116.9922,115.4923,116.9922,17.0
2010-10-01,115.4923,115.4923,109.4927,109.4927,41.0
2010-10-04,104.993,112.4925,92.9938,112.4925,133.0
2010-10-05,107.9928,107.9928,89.994,97.4935,12.0
2010-10-06,97.4935,101.9932,97.4935,97.4935,81.0
2010-10-07,104.993,104.993,89.994,100.4933,63.0
2010-10-08,97.4935,100.4933,86.9942,89.994,43.0
2010-10-11,89.994,89.994,73.4951,74.995,241.0
2010-10-12,74.995,89.994,74.995,89.994,13.0
2010-10-13,89.994,91.4939,74.995,89.994,18.0
2010-10-14,89.994,89.994,74.995,89.994,99.0
2010-10-15,88.4941,88.4941,74.995,86.9942,37.0
2010-10-18,67.4955,82.4945,67.4955,82.4945,12.0
2010-10-19,74.995,82.4945,74.995,74.995,48.0
2010-10-20,74.995,74.995,44.997,52.4965,75.0
2010-10-21,55.4963,59.996,31.4979,50.9966,272.0
2010-10-22,50.9966,50.9966,44.997,44.997,31.0
2010-10-25,49.4967,49.4967,44.997,47.9968,99.0
2010-10-26,49.4967,59.996,49.4967,53.9964,148.0
2010-10-27,53.9964,59.996,46.4969,46.4969,77.0
2010-10-28,46.4969,58.4961,46.4969,58.4961,59.0
2010-10-29,55.4963,58.4961,53.9964,53.9964,42.0
2010-11-01,53.9964,53.9964,46.4969,52.4965,23.0
2010-11-02,52.4965,112.4925,47.9968,104.993,564.0
2010-11-03,121.4919,239.984,121.4919,134.991,1699.0
2010-11-04,152.9898,152.9898,103.4931,149.99,547.0
