Date,Open,High,Low,Close,Volume
2007-10-10,36.0,36.64,36.0,36.64,228.0
2007-10-11,36.64,38.24,36.32,36.8,5346.0
2007-10-12,36.8,39.12,36.8,38.4,7765.0
2007-10-15,38.72,39.2,38.08,39.2,2436.0
2007-10-16,38.56,38.88,38.24,38.4,378.0
2007-10-17,37.6,38.4,36.0,37.6,3250.0
2007-10-18,37.6,37.6,36.8,37.6,2131.0
2007-10-19,37.6,38.4,37.6,37.6,3168.0
2007-10-22,37.6,37.6,35.2,36.64,1448.0
2007-10-23,36.48,39.2,36.48,39.04,2319.0
2007-10-24,36.8,38.4,36.64,38.4,1120.0
2007-10-25,37.76,37.76,37.6,37.6,668.0
2007-10-26,37.28,38.4,37.28,37.6,583.0
2007-10-29,38.24,40.0,38.24,40.0,3266.0
2007-10-30,40.32,44.16,40.32,44.0,2615.0
2007-10-31,44.0,44.64,43.2,44.0,1233.0
2007-11-01,43.2,43.983999999999995,41.92,43.2,845.0
2007-11-02,43.2,43.983999999999995,41.92,43.2,0.0
2007-11-05,43.52,47.36,43.2,46.4,3015.0
2007-11-06,46.4,46.4,43.2,43.2,489.0
2007-11-07,43.2,43.2,40.8,43.2,750.0
2007-11-08,40.8,40.8,38.4,38.56,420.0
2007-11-09,39.68,41.6,39.68,41.6,1165.0
2007-11-12,41.6,42.88,37.76,37.76,4787.0
2007-11-13,39.2,39.36,39.2,39.36,1078.0
2007-11-14,40.0,41.28,38.4,39.36,2177.0
2007-11-15,38.4,39.2,37.76,37.76,1009.0
2007-11-16,37.76,38.08,33.6,35.2,2342.0
2007-11-19,35.2,36.8,35.2,36.8,494.0
2007-11-20,35.52,35.52,34.4,34.88,312.0
2007-11-21,35.68,36.0,34.88,35.68,423.0
2007-11-22,35.68,36.0,34.88,35.68,0.0
2007-11-23,34.88,36.0,34.4,34.4,286.0
2007-11-26,35.2,36.8,34.88,34.88,3073.0
2007-11-27,34.88,35.2,34.88,34.88,1068.0
2007-11-28,34.4,35.2,34.4,34.4,412.0
2007-11-29,34.4,34.4,31.36,33.6,914.0
2007-11-30,32.0,36.0,31.52,36.0,1151.0
2007-12-03,36.0,39.04,36.0,37.6,2454.0
2007-12-04,37.6,38.4,37.6,38.4,223.0
2007-12-05,38.4,38.4,38.4,38.4,531.0
2007-12-06,38.08,38.72,38.08,38.72,833.0
2007-12-07,39.04,39.04,38.4,38.56,533.0
2007-12-10,38.4,46.4,38.08,39.2,1639.0
2007-12-11,36.96,40.8,36.96,40.0,2133.0
2007-12-12,40.0,40.8,40.0,40.0,1178.0
2007-12-13,40.0,40.0,36.8,39.2,2298.0
2007-12-14,39.2,39.2,39.2,39.2,141.0
2007-12-17,38.4,38.4,38.4,38.4,103.0
2007-12-18,39.2,39.2,37.92,38.08,1854.0
2007-12-19,37.6,37.92,37.6,37.92,1552.0
2007-12-20,38.88,40.0,38.88,39.36,2741.0
2007-12-21,40.0,41.44,40.0,40.0,1200.0
2007-12-24,40.0,40.0,40.0,40.0,640.0
2007-12-25,40.0,40.0,40.0,40.0,0.0
2007-12-26,38.88,40.0,38.88,40.0,1040.0
2007-12-27,40.0,40.32,40.0,40.0,1786.0
2007-12-28,40.0,40.8,40.0,40.32,616.0
2007-12-31,40.8,40.8,37.76,40.64,3041.0
2008-01-01,40.8,40.8,37.76,40.64,0.0
2008-01-02,41.12,41.44,40.96,40.96,322.0
2008-01-03,40.96,40.96,40.0,40.8,237.0
2008-01-04,40.8,41.28,40.8,41.28,211.0
2008-01-07,40.8,40.8,37.6,38.72,2546.0
2008-01-08,39.2,40.8,39.2,40.0,996.0
2008-01-09,40.16,40.16,38.4,39.2,1544.0
2008-01-10,38.4,39.84,38.4,39.2,477.0
2008-01-11,39.84,40.8,39.2,39.68,1056.0
2008-01-14,39.2,39.2,38.4,38.4,527.0
2008-01-15,38.4,38.4,36.8,37.6,912.0
2008-01-16,36.0,37.6,35.2,36.8,598.0
2008-01-17,37.6,37.6,32.8,32.8,1161.0
2008-01-18,32.8,36.0,32.8,35.2,156.0
2008-01-21,32.8,36.0,32.8,35.2,0.0
2008-01-22,35.2,35.2,32.96,33.6,1583.0
2008-01-23,35.2,35.2,32.16,33.6,568.0
2008-01-24,32.16,33.6,32.16,32.64,118.0
2008-01-25,32.8,33.6,32.0,32.8,608.0
2008-01-28,32.0,32.32,31.84,32.32,856.0
2008-01-29,32.32,35.2,32.32,35.2,1106.0
2008-01-30,34.4,35.2,33.6,33.6,142.0
2008-01-31,33.6,38.4,33.44,33.6,621.0
2008-02-01,35.2,36.0,34.24,34.4,600.0
2008-02-04,33.6,33.6,33.6,33.6,28.0
2008-02-05,33.6,33.6,30.4,32.0,610.0
2008-02-06,33.6,33.6,30.4,32.0,0.0
2008-02-07,32.0,32.0,32.0,32.0,249.0
2008-02-08,31.2,31.2,30.4,30.4,187.0
2008-02-11,29.6,35.52,29.6,35.52,897.0
2008-02-12,35.2,36.016,35.2,36.0,394.0
2008-02-13,36.0,36.0,36.0,36.0,81.0
2008-02-14,34.416,34.416,34.4,34.4,102.0
2008-02-15,32.0,34.4,32.0,34.4,50.0
2008-02-18,32.0,34.4,32.0,34.4,0.0
2008-02-19,34.4,34.4,29.6,34.4,235.0
2008-02-20,34.4,40.0,34.4,39.84,2523.0
2008-02-21,39.84,39.84,37.6,39.68,296.0
2008-02-22,39.84,39.84,37.6,39.68,0.0
2008-02-25,39.68,39.68,37.12,39.2,181.0
2008-02-26,35.36,35.36,35.36,35.36,31.0
2008-02-27,35.36,35.36,35.36,35.36,50.0
2008-02-28,35.36,37.6,35.36,35.36,156.0
2008-02-29,35.36,38.4,35.36,38.4,317.0
2008-03-03,38.4,38.88,36.0,36.8,445.0
2008-03-04,38.4,38.88,36.0,36.8,0.0
2008-03-05,34.88,36.8,34.88,35.2,160.0
2008-03-06,36.0,36.0,36.0,36.0,200.0
2008-03-07,35.2,38.72,35.2,35.2,624.0
2008-03-10,35.2,35.2,34.88,34.88,88.0
2008-03-11,34.88,34.88,34.88,34.88,252.0
2008-03-12,35.2,36.0,34.88,34.88,355.0
2008-03-13,32.8,33.6,32.0,32.8,554.0
2008-03-14,32.0,35.2,31.2,32.0,3334.0
2008-03-17,33.6,33.6,31.84,32.96,153.0
2008-03-18,32.8,37.44,32.8,32.8,577.0
2008-03-19,33.6,33.6,33.6,33.6,6.0
2008-03-20,36.0,36.0,35.2,35.2,289.0
2008-03-21,36.0,36.0,35.2,35.2,0.0
2008-03-24,36.0,36.8,32.8,36.8,426.0
2008-03-25,36.8,36.8,36.0,36.0,243.0
2008-03-26,32.8,37.44,32.8,35.2,393.0
2008-03-27,35.2,35.2,35.2,35.2,116.0
2008-03-28,35.2,37.6,35.2,37.6,312.0
2008-03-31,35.2,36.8,35.2,36.8,281.0
2008-04-01,35.68,36.8,35.68,36.8,75.0
2008-04-02,36.0,36.0,35.84,36.0,221.0
2008-04-03,36.16,36.16,36.16,36.16,23.0
2008-04-04,36.16,36.16,36.0,36.0,143.0
2008-04-07,36.0,36.0,35.68,35.68,343.0
2008-04-08,36.0,36.0,36.0,36.0,6.0
2008-04-09,34.4,34.4,34.4,34.4,62.0
2008-04-10,34.88,39.04,34.88,39.04,352.0
2008-04-11,36.8,36.8,36.48,36.48,270.0
2008-04-14,36.8,36.8,35.2,35.2,29.0
2008-04-15,35.2,35.2,35.2,35.2,6.0
2008-04-16,34.4,36.0,34.4,34.4,184.0
2008-04-17,34.4,34.4,32.0,32.0,436.0
2008-04-18,32.8,32.8,31.2,32.0,1321.0
2008-04-21,32.0,32.8,31.2,31.2,512.0
2008-04-22,31.2,33.6,29.6,33.6,817.0
2008-04-23,33.6,33.6,30.4,30.4,137.0
