Date,Open,High,Low,Close,Volume
2014-01-06,0.075,0.1,0.075,0.1,4800.0
2014-01-07,0.1,0.1,0.05,0.05,17708.0
2014-01-08,0.1,0.1,0.05,0.05,0.0
2014-01-09,0.1,0.1,0.05,0.05,0.0
2014-01-10,0.1,0.1,0.05,0.05,0.0
2014-01-13,0.1,0.1,0.05,0.05,0.0
2014-01-14,0.1,0.1,0.05,0.05,0.0
2014-01-15,0.1,0.1,0.05,0.05,0.0
2014-01-16,0.1,0.1,0.05,0.05,0.0
2014-01-17,0.1,0.1,0.05,0.05,0.0
2014-01-20,0.1,0.1,0.05,0.05,0.0
2014-01-21,0.1,0.1,0.05,0.05,0.0
2014-01-22,0.1,0.1,0.05,0.05,0.0
2014-01-23,0.1,0.1,0.05,0.05,0.0
2014-01-24,0.1,0.1,0.05,0.05,0.0
2014-01-27,0.1,0.1,0.05,0.05,0.0
2014-01-28,0.1,0.1,0.05,0.05,0.0
2014-01-29,0.1,0.1,0.05,0.05,0.0
2014-01-30,0.1,0.1,0.05,0.05,0.0
2014-01-31,0.1,0.1,0.05,0.05,0.0
2014-02-03,0.1,0.1,0.05,0.05,0.0
2014-02-04,0.1,0.1,0.05,0.05,0.0
2014-02-05,0.1,0.1,0.05,0.05,0.0
2014-02-06,0.1,0.1,0.05,0.05,0.0
2014-02-07,0.1,0.1,0.05,0.05,0.0
2014-02-10,0.1,0.1,0.05,0.05,0.0
2014-02-11,0.1,0.1,0.05,0.05,0.0
2014-02-12,0.1,0.1,0.05,0.05,0.0
2014-02-13,0.1,0.1,0.05,0.05,0.0
2014-02-14,0.1,0.1,0.078,0.078,18500.0
2014-02-17,0.1,0.1,0.078,0.078,0.0
2014-02-18,0.051,0.0799,0.05,0.0799,26864.0
2014-02-19,0.0689,0.0689,0.053,0.0688,16120.0
2014-02-20,0.063,0.063,0.063,0.063,23453.0
2014-02-21,0.06,0.06,0.06,0.06,15000.0
2014-02-24,0.06,0.066,0.06,0.06,17002.0
2014-02-25,0.0729,0.075,0.06,0.075,39434.0
2014-02-26,0.075,0.075,0.06,0.065,18760.0
2014-02-27,0.0501,0.065,0.0384,0.065,22496.0
2014-02-28,0.0483,0.075,0.038,0.075,47472.0
2014-03-03,0.0401,0.0709,0.0401,0.0699,33710.0
2014-03-04,0.0598,0.07,0.0598,0.0699,114208.0
2014-03-05,0.0534,0.0699,0.0534,0.0659,38280.0
2014-03-06,0.0659,0.0659,0.0638,0.0659,20002.0
2014-03-07,0.0568,0.0659,0.0568,0.0659,6984.0
2014-03-10,0.0568,0.079,0.0568,0.079,175553.0
2014-03-11,0.07,0.075,0.055,0.0699,59945.0
2014-03-12,0.0674,0.0798,0.055,0.0699,84840.0
2014-03-13,0.0551,0.0654,0.0551,0.063,72844.0
2014-03-14,0.0649,0.0649,0.0552,0.0649,98450.0
2014-03-17,0.0551,0.0639,0.0551,0.0639,8507.0
2014-03-18,0.0639,0.078,0.063,0.078,162769.0
2014-03-19,0.078,0.078,0.0741,0.078,25500.0
2014-03-20,0.0651,0.078,0.0651,0.078,900.0
2014-03-21,0.078,0.15,0.078,0.15,315502.0
2014-03-24,0.15,0.15,0.13,0.15,82277.0
2014-03-25,0.149,0.26,0.105,0.2599,223931.0
