Date,Open,High,Low,Close,Volume
2009-03-19,19.0,19.0,19.0,19.0,50.0
2009-03-20,19.0,19.0,19.0,19.0,0.0
2009-03-23,22.0,22.0,22.0,22.0,50.0
2009-03-24,22.0,23.0,22.0,22.29,460.0
2009-03-25,22.0,25.0,22.0,25.0,250.0
2009-03-26,20.0,20.0,18.0,18.0,100.0
2009-03-27,18.0,18.0,18.0,18.0,200.0
2009-03-30,18.0,18.0,18.0,18.0,0.0
2009-03-31,18.0,18.0,18.0,18.0,0.0
2009-04-01,18.0,18.0,18.0,18.0,0.0
2009-04-02,23.0,23.0,22.0,22.0,200.0
2009-04-03,23.0,23.0,22.0,22.0,0.0
2009-04-06,23.0,23.0,22.0,22.0,0.0
2009-04-07,18.0,18.0,18.0,18.0,100.0
2009-04-08,18.0,18.0,18.0,18.0,0.0
2009-04-09,18.0,18.0,18.0,18.0,0.0
2009-04-10,18.0,18.0,18.0,18.0,0.0
2009-04-13,18.0,18.0,18.0,18.0,0.0
2009-04-14,18.0,18.0,18.0,18.0,0.0
2009-04-15,18.0,18.0,18.0,18.0,0.0
2009-04-16,18.0,18.0,18.0,18.0,0.0
2009-04-17,18.0,18.0,18.0,18.0,0.0
2009-04-20,18.0,18.0,18.0,18.0,0.0
2009-04-21,18.0,18.0,18.0,18.0,0.0
2009-04-22,18.0,18.0,18.0,18.0,0.0
2009-04-23,18.0,18.0,18.0,18.0,0.0
2009-04-24,18.0,18.0,18.0,18.0,0.0
2009-04-27,18.0,18.0,18.0,18.0,0.0
2009-04-28,18.0,18.0,18.0,18.0,0.0
2009-04-29,18.0,18.0,18.0,18.0,0.0
2009-04-30,18.0,18.0,18.0,18.0,0.0
2009-05-01,18.0,18.0,18.0,18.0,0.0
2009-05-04,18.0,18.0,18.0,18.0,0.0
2009-05-05,18.0,18.0,18.0,18.0,0.0
2009-05-06,18.0,18.0,18.0,18.0,0.0
2009-05-07,18.0,18.0,18.0,18.0,0.0
2009-05-08,18.0,18.0,18.0,18.0,0.0
2009-05-11,18.0,18.0,18.0,18.0,0.0
2009-05-12,18.0,18.0,18.0,18.0,0.0
2009-05-13,18.0,18.0,18.0,18.0,0.0
2009-05-14,18.0,18.0,18.0,18.0,0.0
2009-05-15,18.0,18.0,18.0,18.0,0.0
2009-05-18,18.0,18.0,18.0,18.0,860.0
2009-05-19,18.0,18.0,18.0,18.0,1214.0
2009-05-20,19.0,19.0,19.0,19.0,200.0
2009-05-21,19.0,19.0,19.0,19.0,595.0
2009-05-22,19.0,19.0,19.0,19.0,0.0
2009-05-25,19.0,19.0,19.0,19.0,0.0
2009-05-26,16.0,16.0,16.0,16.0,200.0
2009-05-27,19.0,20.0,19.0,20.0,40.0
2009-05-28,20.0,22.0,20.0,22.0,40.0
2009-05-29,20.0,22.0,20.0,22.0,0.0
2009-06-01,22.0,22.0,22.0,22.0,1754.0
2009-06-02,22.0,22.0,22.0,22.0,0.0
2009-06-03,22.0,22.0,22.0,22.0,150.0
2009-06-04,22.0,24.0,22.0,22.0,340.0
2009-06-05,22.0,22.0,18.0,18.0,60.0
2009-06-08,22.0,24.0,17.0,18.0,13909.0
2009-06-09,20.0,20.0,13.0,15.0,2548.0
2009-06-10,13.0,20.0,13.0,15.0,534.0
2009-06-11,16.0,17.0,13.0,13.5,937.0
2009-06-12,14.0,14.0,10.0,10.0,1554.0
2009-06-15,11.0,11.0,7.0,11.0,496.0
2009-06-16,7.0,9.0,5.0,9.0,700.0
2009-06-17,9.0,9.0,5.0,5.0,77.0
2009-06-18,5.0,7.0,5.0,6.0,1622.0
2009-06-19,5.0,7.0,5.0,6.0,0.0
2009-06-22,7.0,7.0,5.0,6.0,356.0
2009-06-23,5.0,6.0,5.0,6.0,1341.0
2009-06-24,6.0,7.0,6.0,7.0,95.0
2009-06-25,7.0,7.0,6.0,6.0,351.0
2009-06-26,6.0,6.0,6.0,6.0,35.0
2009-06-29,8.0,8.0,8.0,8.0,840.0
2009-06-30,12.0,12.0,5.0,5.0,2386.0
2009-07-01,6.0,7.0,6.0,7.0,35.0
2009-07-02,7.0,7.0,7.0,7.0,839.0
2009-07-03,7.0,7.0,7.0,7.0,0.0
2009-07-06,7.0,7.0,6.0,6.0,1196.0
2009-07-07,6.0,8.0,6.0,8.0,77.0
2009-07-08,5.0,5.0,5.0,5.0,10.0
2009-07-09,8.0,8.0,8.0,8.0,5.0
2009-07-10,8.0,8.0,8.0,8.0,40.0
2009-07-13,8.0,8.0,8.0,8.0,0.0
2009-07-14,5.0,8.0,5.0,8.0,214.0
2009-07-15,5.0,6.0,5.0,6.0,324.0
2009-07-16,5.0,6.0,5.0,6.0,0.0
2009-07-17,5.0,8.0,5.0,8.0,61.0
2009-07-20,8.0,8.0,8.0,8.0,1.0
2009-07-21,8.0,8.0,8.0,8.0,712.0
2009-07-22,8.0,8.0,8.0,8.0,427.0
2009-07-23,8.0,8.0,8.0,8.0,0.0
2009-07-24,11.0,11.0,11.0,11.0,1.0
2009-07-27,11.0,11.0,5.0,11.0,482.0
2009-07-28,5.0,11.0,5.0,11.0,363.0
2009-07-29,5.0,11.0,5.0,11.0,0.0
2009-07-30,7.0,7.0,7.0,7.0,60.0
2009-07-31,5.0,5.0,5.0,5.0,70.0
2009-08-03,5.0,7.0,5.0,6.0,360.0
2009-08-04,6.0,6.0,5.0,5.0,82.0
