Date,Open,High,Low,Close,Volume
2008-04-02,9.1454,9.1454,7.6462,7.6462,833.0
2008-04-03,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-04,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-07,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-08,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-09,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-10,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-11,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-14,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-15,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-16,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-17,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-18,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-21,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-22,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-23,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-24,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-25,9.1454,9.1454,7.6462,7.6462,0.0
2008-04-28,8.2459,8.2459,8.2459,8.2459,166.0
2008-04-29,8.2459,8.2459,8.2459,8.2459,0.0
2008-04-30,8.2459,8.2459,8.2459,8.2459,0.0
2008-05-01,8.2459,8.2459,8.2459,8.2459,0.0
2008-05-02,8.2459,8.2459,8.2459,8.2459,0.0
2008-05-05,8.2459,8.2459,8.2459,8.2459,0.0
2008-05-06,8.2459,8.2459,8.2459,8.2459,0.0
2008-05-07,8.2459,8.2459,8.2459,8.2459,0.0
2008-05-08,8.2459,8.2459,8.2459,8.2459,0.0
2008-05-09,8.2459,8.2459,8.2459,8.2459,0.0
2008-05-12,8.2459,8.2459,8.2459,8.2459,0.0
2008-05-13,8.2459,8.2459,8.2459,8.2459,0.0
2008-05-14,8.2459,8.2459,8.2459,8.2459,0.0
2008-05-15,8.2459,8.2459,8.2459,8.2459,0.0
2008-05-16,8.2459,8.2459,8.2459,8.2459,0.0
2008-05-19,7.6462,7.6462,7.6462,7.6462,8.0
2008-05-20,7.6462,7.6462,7.6462,7.6462,0.0
2008-05-21,7.6462,7.6462,7.6462,7.6462,0.0
2008-05-22,7.6462,7.6462,7.6462,7.6462,0.0
2008-05-23,7.6462,7.6462,7.6462,7.6462,0.0
2008-05-26,7.6462,7.6462,7.6462,7.6462,0.0
2008-05-27,7.6462,7.6462,7.6462,7.6462,0.0
2008-05-28,7.6462,7.6462,7.6462,7.6462,0.0
2008-05-29,7.6462,7.6462,7.6462,7.6462,0.0
2008-05-30,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-02,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-03,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-04,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-05,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-06,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-09,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-10,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-11,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-12,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-13,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-16,7.6462,7.6462,7.6462,7.6462,7.0
2008-06-17,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-18,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-19,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-20,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-23,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-24,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-25,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-26,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-27,7.6462,7.6462,7.6462,7.6462,0.0
2008-06-30,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-01,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-02,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-03,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-04,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-07,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-08,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-09,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-10,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-11,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-14,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-15,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-16,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-17,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-18,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-21,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-22,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-23,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-24,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-25,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-28,7.6462,7.6462,7.6462,7.6462,0.0
2008-07-29,7.6462,7.6462,7.6462,7.6462,0.0
