Date,Open,High,Low,Close,Volume
2007-09-13,0.11,0.115,0.095,0.11,159054.0
2007-09-14,0.11,0.129,0.105,0.12,366300.0
2007-09-17,0.12,0.12,0.1,0.11,216930.0
2007-09-18,0.1,0.1,0.09,0.095,537919.0
2007-09-19,0.1,0.1,0.09,0.1,290000.0
2007-09-20,0.09,0.095,0.08800000000000001,0.09,376000.0
2007-09-21,0.09,0.09,0.07,0.09,339764.0
2007-09-24,0.075,0.08,0.07,0.08,66000.0
2007-09-25,0.08,0.09,0.075,0.09,315250.0
2007-09-26,0.09,0.09,0.09,0.09,150500.0
2007-09-27,0.09,0.09,0.06,0.065,1065656.0
2007-09-28,0.065,0.067,0.065,0.067,96000.0
2007-10-01,0.07,0.07,0.07,0.07,185203.0
2007-10-02,0.07,0.077,0.051,0.0525,629616.0
2007-10-03,0.0535,0.0535,0.05,0.05,413546.0
2007-10-04,0.0505,0.052000000000000005,0.0505,0.052000000000000005,47940.0
2007-10-05,0.051,0.052000000000000005,0.051,0.051,29000.0
2007-10-08,0.051,0.055,0.05,0.05,697400.0
2007-10-09,0.05,0.05,0.045,0.045,217500.0
2007-10-10,0.046,0.06,0.046,0.06,480146.0
2007-10-11,0.06,0.06,0.06,0.06,20220.0
2007-10-12,0.055,0.067,0.05,0.065,112000.0
2007-10-15,0.065,0.08,0.05,0.08,178000.0
2007-10-16,0.075,0.08,0.075,0.08,97000.0
2007-10-17,0.08,0.095,0.08,0.085,428000.0
2007-10-18,0.085,0.095,0.085,0.092,567157.0
2007-10-19,0.09300000000000001,0.095,0.08,0.08,1007983.0
2007-10-22,0.076,0.076,0.065,0.076,115000.0
2007-10-23,0.07,0.07,0.06,0.061,147267.0
2007-10-24,0.06,0.065,0.06,0.064,242663.0
2007-10-25,0.06,0.06,0.06,0.06,39000.0
2007-10-26,0.065,0.075,0.065,0.075,50000.0
2007-10-29,0.065,0.07,0.06,0.06,895132.0
2007-10-30,0.063,0.063,0.05,0.05,741490.0
2007-10-31,0.055,0.055,0.05,0.051,55000.0
2007-11-01,0.051,0.06,0.051,0.06,90000.0
2007-11-02,0.07,0.07200000000000001,0.055,0.065,257490.0
2007-11-05,0.06,0.075,0.06,0.075,260000.0
2007-11-06,0.075,0.099,0.075,0.08,429850.0
2007-11-07,0.08,0.09,0.08,0.09,105000.0
2007-11-08,0.086,0.086,0.08,0.08,36000.0
2007-11-09,0.08,0.09,0.08,0.09,127000.0
2007-11-12,0.08,0.08,0.08,0.08,5000.0
2007-11-13,0.081,0.081,0.07,0.08,183400.0
2007-11-14,0.065,0.07,0.065,0.065,31420.0
2007-11-15,0.07,0.079,0.0695,0.079,1125490.0
2007-11-16,0.079,0.08,0.07200000000000001,0.07200000000000001,204000.0
2007-11-19,0.07200000000000001,0.07200000000000001,0.07200000000000001,0.07200000000000001,658.0
2007-11-20,0.07,0.07,0.068,0.07,66130.0
2007-11-21,0.08,0.08,0.07,0.07,63610.0
2007-11-22,0.08,0.08,0.07,0.07,0.0
2007-11-23,0.065,0.065,0.065,0.065,1000.0
