,Date,Open,High,Low,Close,Volume
0,10/17/2008,120.0,120.0,120.0,120.0,8.0
1,03/16/2009,120.0,120.0,120.0,120.0,16.0
2,03/23/2009,210.0,210.0,210.0,210.0,8.0
3,03/31/2009,306.0,306.0,306.0,306.0,0.0
4,04/02/2009,306.0,306.0,306.0,306.0,0.0
5,04/06/2009,306.0,306.0,306.0,306.0,8.0
6,04/07/2009,330.0,330.0,330.0,330.0,8.0
7,06/29/2009,390.0,390.0,390.0,390.0,0.0
8,07/06/2009,390.0,390.0,390.0,390.0,0.0
9,08/06/2009,225.0,225.0,225.0,225.0,33.0
10,08/18/2009,315.0,315.0,315.0,315.0,1.0
11,08/25/2009,337.5,337.5,337.5,337.5,13.0
12,08/26/2009,345.0,345.0,330.0,330.0,14.0
13,08/27/2009,330.0,330.0,330.0,330.0,6.0
14,09/03/2009,292.5,292.5,292.5,292.5,6.0
15,09/09/2009,225.0,225.0,225.0,225.0,6.0
16,09/10/2009,225.0,240.0,225.0,232.5,27.0
17,09/14/2009,247.5,255.0,247.5,255.0,41.0
18,09/15/2009,247.5,247.5,247.5,247.5,53.0
19,09/17/2009,240.0,255.0,240.0,247.5,20.0
20,09/18/2009,255.0,292.5,255.0,292.5,46.0
21,09/21/2009,292.5,292.5,292.5,292.5,15.0
22,09/23/2009,292.5,295.5,292.5,292.5,28.0
23,09/24/2009,295.5,295.5,295.5,295.5,6.0
24,09/25/2009,295.5,295.5,295.5,295.5,6.0
25,09/28/2009,295.5,295.5,295.5,295.5,8.0
26,09/30/2009,295.5,295.5,295.5,295.5,6.0
27,10/01/2009,262.5,262.5,240.0,240.0,13.0
28,10/05/2009,232.5,232.5,232.5,232.5,34.0
29,10/06/2009,240.0,240.0,240.0,240.0,33.0
30,10/07/2009,249.0,255.0,247.5,255.0,85.0
31,10/08/2009,255.0,255.0,255.0,255.0,33.0
32,10/13/2009,295.5,345.0,295.5,345.0,55.0
33,10/14/2009,352.5,352.5,352.5,352.5,13.0
34,10/15/2009,315.0,315.0,315.0,315.0,16.0
35,10/16/2009,360.0,367.5,330.0,330.0,25.0
36,10/19/2009,360.0,375.0,307.5,307.5,28.0
37,10/20/2009,337.5,364.5,337.5,364.5,10.0
