,Date,Open,High,Low,Close,Volume
0,09/13/2007,4.0,4.0,3.5,3.5,1000.0
1,10/05/2007,5.5,5.5,5.5,5.5,10.0
2,12/03/2007,4.0,4.0,4.0,4.0,350.0
3,12/04/2007,4.0,4.0,4.0,4.0,690.0
4,12/06/2007,2.0,2.0,2.0,2.0,100.0
5,12/11/2007,11.0,11.0,11.0,11.0,10.0
6,12/27/2007,10.5,10.5,7.0,7.0,240.0
7,12/31/2007,8.0,8.0,7.5,7.5,600.0
8,01/02/2008,7.5,8.0,7.5,8.0,600.0
9,01/03/2008,3.5,3.5,3.5,3.5,210.0
10,01/04/2008,5.0,5.0,5.0,5.0,250.0
11,05/20/2008,8.0,8.0,8.0,8.0,500.0
12,08/29/2008,2.5,2.5,2.5,2.5,580.0
13,01/27/2010,0.52,0.52,0.52,0.52,700.0
14,04/14/2010,2.5,2.5,2.5,2.5,500.0
15,04/28/2010,0.2,0.21,0.2,0.2,10000.0
16,06/16/2010,0.2,0.21,0.08,0.21,4750.0
17,08/17/2010,0.15,0.2,0.14,0.14,3000.0
18,08/22/2011,0.3,0.3,0.3,0.3,10000.0
19,08/24/2011,0.3,0.3,0.3,0.3,5000.0
20,08/25/2011,0.25,0.25,0.25,0.25,5000.0
21,08/26/2011,0.25,0.25,0.25,0.25,5000.0
22,08/31/2011,0.15,0.2,0.15,0.2,15000.0
23,09/07/2011,0.2,0.2,0.2,0.2,10000.0
24,09/16/2011,0.225,0.225,0.2,0.2,10000.0
25,09/19/2011,0.25,0.25,0.205,0.25,27500.0
26,09/20/2011,0.5,0.5,0.5,0.5,2000.0
27,09/21/2011,0.5,0.5,0.5,0.5,4000.0
28,09/22/2011,1.01,1.01,0.75,0.75,1940.0
29,09/27/2011,0.49,0.49,0.49,0.49,600.0
30,09/29/2011,0.2,0.2,0.2,0.2,460.0
31,11/17/2011,0.21,0.3,0.21,0.21,4400.0
32,11/18/2011,0.3,0.3,0.3,0.3,1000.0
33,11/22/2011,0.21,0.21,0.21,0.21,1500.0
34,11/28/2011,0.175,0.185,0.141,0.141,38100.0
35,11/29/2011,0.16,0.19,0.15,0.15,46800.0
36,12/05/2011,0.16,0.16,0.145,0.15,50600.0
37,12/08/2011,0.16,0.16,0.16,0.16,5400.0
38,12/09/2011,0.18,0.2,0.16,0.17,15737.0
39,12/12/2011,0.17,0.17,0.17,0.17,15000.0
40,12/13/2011,0.2,0.29,0.2,0.28,36400.0
41,12/14/2011,0.29,0.29,0.23,0.23,14754.0
42,12/15/2011,0.26,0.28,0.24,0.28,31150.0
43,12/16/2011,0.22,0.28,0.21,0.27,85110.0
44,12/19/2011,0.28,0.32,0.26,0.29,75537.0
45,12/20/2011,0.32,0.32,0.28,0.32,45956.0
46,12/21/2011,0.29,0.29,0.29,0.29,100.0
47,12/22/2011,0.29,0.32,0.21,0.21,245421.0
48,12/23/2011,0.21,0.24,0.1499,0.1499,102775.0
49,12/28/2011,0.12,0.12,0.08,0.1,25400.0
50,12/29/2011,0.09,0.13,0.09,0.13,11101.0
51,12/30/2011,0.13,0.13,0.13,0.13,4034.0
52,01/03/2012,0.09,0.1,0.09,0.09,15500.0
53,01/04/2012,0.08,0.08,0.07,0.07,65500.0
54,01/05/2012,0.07,0.07,0.05,0.065,88200.0
55,01/06/2012,0.06,0.06,0.055,0.055,18300.0
56,01/09/2012,0.07,0.09,0.057,0.057,39000.0
57,01/10/2012,0.09,0.09,0.09,0.09,10000.0
58,01/11/2012,0.09,0.09,0.09,0.09,68300.0
59,01/13/2012,0.06,0.06,0.06,0.06,10000.0
60,01/17/2012,0.055,0.06,0.055,0.06,50000.0
61,01/18/2012,0.075,0.08,0.075,0.08,88166.0
62,01/19/2012,0.08,0.1,0.08,0.1,13500.0
63,01/20/2012,0.12,0.139,0.11,0.139,79184.0
64,01/23/2012,0.17,0.21,0.16,0.18,1270384.0
65,01/24/2012,0.19,0.19,0.13,0.1421,343995.0
66,01/25/2012,0.15,0.16,0.1357,0.1499,273886.0
67,01/26/2012,0.145,0.15,0.09,0.105,286712.0
68,01/27/2012,0.1,0.12,0.075,0.1,944708.0
69,01/30/2012,0.105,0.10800000000000001,0.081,0.09,1475953.0
