Date,Open,High,Low,Close,Volume
2012-03-28,0.63,1.1,0.63,1.0,2596805.0
2012-03-29,1.14,1.14,0.85,0.9,1232826.0
2012-03-30,0.9,1.0,0.86,0.9,378089.0
2012-04-02,0.9,0.9,0.7,0.75,494733.0
2012-04-03,0.65,0.79,0.55,0.67,1905815.0
2012-04-04,0.6,0.7,0.6,0.68,1440239.0
2012-04-05,0.7,0.8,0.65,0.75,107760.0
2012-04-06,0.7,0.8,0.65,0.75,0.0
2012-04-09,0.8,0.8,0.72,0.77,157605.0
2012-04-10,0.8,0.85,0.7,0.75,157215.0
2012-04-11,0.7,0.75,0.68,0.7,223041.0
2012-04-12,0.695,0.7,0.65,0.66,582618.0
2012-04-13,0.6,0.75,0.6,0.67,302247.0
2012-04-16,0.7,0.7,0.6459999999999999,0.65,1349061.0
2012-04-17,0.65,0.68,0.6,0.68,227833.0
2012-04-18,0.66,0.665,0.61,0.65,603453.0
2012-04-19,0.64,0.655,0.62,0.65,241018.0
2012-04-20,0.66,0.66,0.61,0.645,357163.0
2012-04-23,0.62,0.64,0.6,0.64,111925.0
2012-04-24,0.64,0.64,0.6,0.6,298662.0
2012-04-25,0.6,0.63,0.59,0.6,192081.0
2012-04-26,0.54,0.6,0.54,0.595,83478.0
2012-04-27,0.58,0.6,0.58,0.6,157010.0
2012-04-30,0.58,0.59,0.55,0.59,288824.0
2012-05-01,0.58,0.59,0.56,0.59,153525.0
2012-05-02,0.56,0.59,0.56,0.59,117787.0
2012-05-03,0.585,0.59,0.55,0.5870000000000001,284536.0
2012-05-04,0.58,0.5870000000000001,0.53,0.57,458316.0
2012-05-07,0.56,0.58,0.53,0.56,60122.0
2012-05-08,0.59,0.59,0.52,0.53,147186.0
2012-05-09,0.53,0.55,0.53,0.54,759202.0
2012-05-10,0.53,0.56,0.53,0.54,67212.0
2012-05-11,0.54,0.6,0.54,0.5401,157668.0
2012-05-14,0.56,0.56,0.53,0.5401,145730.0
2012-05-15,0.56,0.57,0.53,0.5499,171883.0
2012-05-16,0.53,0.56,0.5,0.55,986462.0
2012-05-17,0.55,0.56,0.5,0.54,68133.0
2012-05-18,0.501,0.6,0.501,0.54,151291.0
2012-05-21,0.51,0.54,0.51,0.53,328027.0
2012-05-22,0.5,0.54,0.5,0.53,76856.0
2012-05-23,0.5,0.54,0.48,0.5,373194.0
2012-05-24,0.43,0.5,0.43,0.495,145545.0
2012-05-25,0.48100000000000004,0.5,0.441,0.45,1064979.0
2012-05-28,0.48100000000000004,0.5,0.441,0.45,0.0
2012-05-29,0.45,0.45,0.43,0.43,289971.0
2012-05-30,0.43,0.45,0.41100000000000003,0.43,148686.0
2012-05-31,0.4,0.45,0.4,0.43,106591.0
2012-06-01,0.43,0.6,0.425,0.5,287412.0
2012-06-04,0.431,0.6,0.431,0.49,40050.0
2012-06-05,0.45,0.59,0.45,0.5,278065.0
2012-06-06,0.55,0.57,0.5,0.57,47270.0
2012-06-07,0.5,0.57,0.5,0.54,29099.0
2012-06-08,0.53,0.57,0.53,0.57,37070.0
2012-06-11,0.57,0.57,0.5,0.57,70745.0
2012-06-12,0.6,0.6,0.51,0.57,55834.0
2012-06-13,0.57,0.57,0.511,0.57,60435.0
2012-06-14,0.57,0.57,0.51,0.53,72021.0
2012-06-15,0.51,0.57,0.51,0.55,33529.0
2012-06-18,0.55,0.55,0.505,0.52,96167.0
2012-06-19,0.5,0.55,0.49,0.55,162369.0
2012-06-20,0.5,0.55,0.49,0.54,63854.0
2012-06-21,0.54,0.54,0.48,0.51,69334.0
2012-06-22,0.51,0.52,0.48,0.52,52818.0
2012-06-25,0.49,0.52,0.48,0.49,48749.0
2012-06-26,0.48,0.5,0.48,0.5,124686.0
2012-06-27,0.48,0.53,0.48,0.53,63037.0
2012-06-28,0.48,0.5,0.48,0.49,40681.0
2012-06-29,0.49,0.52,0.49,0.5,75939.0
2012-07-02,0.45,0.5,0.45,0.5,91068.0
2012-07-03,0.45,0.5,0.45,0.5,15800.0
2012-07-04,0.45,0.5,0.45,0.5,0.0
2012-07-05,0.45,0.5,0.45,0.5,77778.0
2012-07-06,0.452,0.5,0.452,0.5,62022.0
2012-07-09,0.45299999999999996,0.5,0.45299999999999996,0.5,63328.0
2012-07-10,0.452,0.5,0.452,0.47,57077.0
2012-07-11,0.47,0.49,0.45,0.48,62608.0
2012-07-12,0.48,0.5,0.46,0.5,83447.0
2012-07-13,0.46,0.49,0.46,0.48,167678.0
2012-07-16,0.46,0.495,0.46,0.495,49892.0
2012-07-17,0.46,0.5,0.46,0.47,132807.0
2012-07-18,0.5,0.5,0.46,0.46,46861.0
2012-07-19,0.465,0.49,0.46,0.46,29349.0
2012-07-20,0.505,0.55,0.485,0.52,527625.0
2012-07-23,0.55,0.55,0.5,0.5,248336.0
2012-07-24,0.48,0.52,0.48,0.5,128454.0
2012-07-25,0.46,0.52,0.46,0.49,272519.0
2012-07-26,0.48,0.52,0.48,0.4851,94379.0
2012-07-27,0.485,0.55,0.485,0.55,386859.0
2012-07-30,0.56,0.65,0.49,0.58,260713.0
2012-07-31,0.62,0.62,0.54,0.57,361725.0
2012-08-01,0.58,0.63,0.5401,0.57,250814.0
2012-08-02,0.5201,0.57,0.5,0.51,174753.0
2012-08-03,0.51,0.58,0.5,0.535,211199.0
2012-08-06,0.531,0.55,0.5,0.52,1802883.0
2012-08-07,0.48,0.54,0.48,0.5,563857.0
2012-08-08,0.48,0.51,0.48,0.5,367915.0
2012-08-09,0.49,0.56,0.48,0.499,269757.0
2012-08-10,0.51,0.53,0.48,0.5,199660.0
2012-08-13,0.5,0.53,0.49,0.5,74742.0
2012-08-14,0.5,0.6,0.5,0.501,93901.0
2012-08-15,0.51,0.53,0.5,0.52,96886.0
2012-08-16,0.52,0.529,0.5,0.52,138863.0
2012-08-17,0.47,0.52,0.47,0.51,91784.0
2012-08-20,0.47,0.52,0.47,0.5,228591.0
2012-08-21,0.47,0.5,0.47,0.5,156947.0
2012-08-22,0.47,0.55,0.47,0.51,97292.0
2012-08-23,0.505,0.53,0.5,0.5,134841.0
2012-08-24,0.511,0.545,0.5,0.52,159087.0
2012-08-27,0.52,0.52,0.5,0.5,47316.0
2012-08-28,0.52,0.52,0.45,0.5,32416.0
2012-08-29,0.5,0.51,0.48100000000000004,0.5,70733.0
2012-08-30,0.45,0.5,0.45,0.495,49465.0
2012-08-31,0.5,0.52,0.48,0.48,74448.0
2012-09-03,0.5,0.52,0.48,0.48,0.0
2012-09-04,0.42,0.5,0.42,0.5,55312.0
2012-09-05,0.42,0.5,0.42,0.48200000000000004,38201.0
2012-09-06,0.49,0.5,0.48,0.48,70900.0
2012-09-07,0.49,0.5,0.45,0.5,1689730.0
2012-09-10,0.46,0.5,0.46,0.48,89604.0
2012-09-11,0.462,0.5,0.461,0.48,55491.0
2012-09-12,0.475,0.51,0.475,0.5,373768.0
2012-09-13,0.501,0.51,0.48,0.51,92086.0
2012-09-14,0.5,0.52,0.48100000000000004,0.505,438073.0
2012-09-17,0.75,0.75,0.5,0.54,308910.0
2012-09-18,0.5,0.545,0.5,0.545,91562.0
2012-09-19,0.501,0.55,0.501,0.54,48699.0
2012-09-20,0.55,0.55,0.501,0.52,80146.0
2012-09-21,0.501,0.55,0.501,0.5375,54655.0
2012-09-24,0.55,0.55,0.501,0.53,159984.0
2012-09-25,0.53,0.535,0.505,0.505,66174.0
2012-09-26,0.501,0.52,0.5,0.52,47134.0
2012-09-27,0.54,0.54,0.49,0.49200000000000005,162303.0
2012-09-28,0.49,0.52,0.49,0.51,171865.0
2012-10-01,0.49,0.505,0.49,0.5,89441.0
2012-10-02,0.5,0.5,0.49,0.49,94985.0
2012-10-03,0.5,0.5,0.48100000000000004,0.5,96823.0
2012-10-04,0.5,0.52,0.49,0.4905,77108.0
2012-10-05,0.52,0.52,0.49,0.5,165635.0
2012-10-08,0.49,0.5,0.48100000000000004,0.49,252763.0
2012-10-09,0.48200000000000004,0.5,0.47200000000000003,0.47200000000000003,172488.0
2012-10-10,0.5,0.5,0.48,0.48,133064.0
2012-10-11,0.48,0.49,0.4795,0.4801,95166.0
2012-10-12,0.479,0.5,0.479,0.48,274458.0
2012-10-15,0.48,0.5,0.475,0.5,316998.0
2012-10-16,0.5,0.5,0.48,0.49,129734.0
2012-10-17,0.46,0.5,0.46,0.49,58886.0
2012-10-18,0.5,0.5,0.4755,0.4761,167042.0
2012-10-19,0.46,0.49,0.46,0.4885,265111.0
2012-10-22,0.49,0.49,0.46,0.47,1733268.0
2012-10-23,0.47,0.5199,0.47,0.5199,142312.0
2012-10-24,0.5,0.5,0.4801,0.49,82082.0
2012-10-25,0.5,0.51,0.48,0.5,219145.0
2012-10-26,0.495,0.495,0.47,0.48,334999.0
2012-10-29,0.495,0.495,0.47,0.48,0.0
2012-10-30,0.495,0.495,0.47,0.48,0.0
2012-10-31,0.47,0.48,0.46,0.47,292260.0
2012-11-01,0.47,0.475,0.46,0.461,250893.0
2012-11-02,0.47,0.47,0.445,0.465,645475.0
2012-11-05,0.465,0.47,0.44,0.45,310218.0
2012-11-06,0.465,0.47,0.45,0.46,271887.0
2012-11-07,0.46,0.47,0.44,0.47,116945.0
2012-11-08,0.46,0.48,0.445,0.48,61763.0
2012-11-09,0.49,0.49,0.451,0.46,98042.0
2012-11-12,0.44,0.47,0.44,0.47,63978.0
2012-11-13,0.47,0.47,0.45,0.47,144445.0
2012-11-14,0.45,0.47,0.45,0.465,102867.0
2012-11-15,0.46,0.47,0.451,0.47,239957.0
2012-11-16,0.47,0.47,0.45,0.47,1707586.0
2012-11-19,0.45,0.47,0.45,0.47,92261.0
2012-11-20,0.47,0.48,0.45,0.46,503087.0
2012-11-21,0.47,0.47,0.455,0.465,16545.0
2012-11-22,0.47,0.47,0.455,0.465,0.0
2012-11-23,0.46,0.47,0.46,0.47,33227.0
2012-11-26,0.46,0.47,0.46,0.465,85419.0
2012-11-27,0.46,0.48,0.46,0.48,39855.0
2012-11-28,0.46,0.48,0.46,0.46,117984.0
2012-11-29,0.48,0.48,0.46,0.46,96758.0
2012-11-30,0.46,0.48,0.46,0.48,184900.0
2012-12-03,0.47,0.48,0.46,0.47,194039.0
2012-12-04,0.46,0.5,0.46,0.485,312462.0
2012-12-05,0.485,0.5749,0.485,0.545,7403820.0
2012-12-06,0.5489999999999999,0.575,0.535,0.54,218567.0
2012-12-07,0.55,0.57,0.55,0.56,393898.0
2012-12-10,0.58,0.65,0.5660000000000001,0.6,368306.0
2012-12-11,0.57,0.6495,0.57,0.63,254974.0
2012-12-12,0.61,0.64,0.601,0.61,621434.0
2012-12-13,0.61,0.65,0.61,0.625,201169.0
2012-12-14,0.64,0.6499,0.62,0.6499,184548.0
2012-12-17,0.64,0.695,0.64,0.69,510148.0
2012-12-18,0.7,0.7,0.63,0.6890000000000001,1619765.0
2012-12-19,0.69,0.7,0.67,0.6890000000000001,113910.0
2012-12-20,0.69,0.7,0.665,0.69,194356.0
2012-12-21,0.67,0.7,0.6653,0.68,148746.0
2012-12-24,0.68,0.69,0.68,0.68,116146.0
2012-12-25,0.68,0.69,0.68,0.68,0.0
2012-12-26,0.685,0.8,0.685,0.79,817054.0
2012-12-27,0.789,0.855,0.74,0.83,892423.0
2012-12-28,0.83,0.88,0.8,0.88,1024266.0
2012-12-31,0.89,0.89,0.83,0.84,1832848.0
2013-01-01,0.89,0.89,0.83,0.84,0.0
2013-01-02,0.85,0.86,0.79,0.81,776312.0
2013-01-03,0.795,0.82,0.79,0.8,260123.0
2013-01-04,0.79,0.83,0.785,0.79,96403.0
2013-01-07,0.79,0.8,0.7502,0.78,1394012.0
2013-01-08,0.79,0.79,0.65,0.7,249525.0
2013-01-09,0.65,0.7,0.65,0.6701,430790.0
2013-01-10,0.7,0.72,0.6702,0.72,94437.0
2013-01-11,0.72,0.79,0.7199,0.78,308275.0
