date,holiday
2/20/12,Presidents Day (Washingtons Birthday)
4/6/12,Good Friday
5/28/12,Memorial Day
7/4/12,Independence Day
9/3/12,Labor Day
11/22/12,Thanksgiving Day
12/25/12,Christmas Day
1/1/13,New Year Day
1/21/13,Martin Luther King Jr. Day
2/18/13,Presidents Day (Washingtons Birthday)
3/29/13,Good Friday
5/27/13,Memorial Day
7/4/13,Independence Day
9/2/13,Labor Day
11/28/13,Thanksgiving Day
12/25/13,Christmas Day
1/1/14,New Year Day
1/20/14,Martin Luther King Jr. Day
2/17/14,Presidents Day (Washingtons Birthday)
4/18/14,Good Friday
5/26/14,Memorial Day
7/4/14,Independence Day
9/1/14,Labor Day
11/27/14,Thanksgiving Day
12/25/14,Christmas Day
1/1/15,New Year Day
1/19/15,Martin Luther King Jr. Day
2/16/15,Presidents Day (Washingtons Birthday)
4/3/15,Good Friday
5/25/15,Memorial Day
7/3/15,Independence Day
9/7/15,Labor Day
11/26/15,Thanksgiving Day
12/25/15,Christmas Day
1/1/16,New Year Day
1/18/16,Martin Luther King Jr. Day
2/15/16,Presidents Day (Washingtons Birthday)
3/25/16,Good Friday
5/30/16,Memorial Day
7/4/16,Independence Day
9/5/16,Labor Day
11/24/16,Thanksgiving Day
12/25/16,Christmas Day
1/2/17,New Year Day
1/16/17,Martin Luther King Jr. Day
2/20/17,Presidents Day (Washingtons Birthday)
4/14/17,Good Friday
5/29/17,Memorial Day
7/4/17,Independence Day
9/4/17,Labor Day
11/23/17,Thanksgiving Day
12/25/17,Christmas Day
1/1/18,New Year Day
1/15/18,Martin Luther King Jr. Day
2/19/18,Presidents Day (Washingtons Birthday)
3/30/18,Good Friday
5/28/18,Memorial Day
7/4/18,Independence Day
9/3/18,Labor Day
11/22/18,Thanksgiving Day
12/25/18,Christmas Day
1/1/19,New Year Day
1/21/19,Martin Luther King Jr. Day
2/18/19,Presidents Day (Washingtons Birthday)
4/19/19,Good Friday
5/27/19,Memorial Day
7/4/19,Independence Day
9/2/19,Labor Day
11/28/19,Thanksgiving Day
12/25/19,Christmas Day
1/1/20,New Year Day
1/20/20,Martin Luther King Jr. Day
2/17/20,Presidents Day (Washingtons Birthday)
4/10/20,Good Friday
5/25/20,Memorial Day
7/3/20,Independence Day
9/7/20,Labor Day
11/26/20,Thanksgiving Day
12/25/20,Christmas Day
